Bits,Matrix Size,Pipelining,Parallelism,Frequency,Slack,Slack,Comb Area,Buf Area,Non-Comb Area,Total Area,Dyn Power (uW),Leakage Power (uW)
8,16,1,16,1.90000000000000000000,MET,0.05,21643.1,999.096,29138.7,50781.8,18372.6000,1017.3000,
8,16,1,16,2.00000000000000000000,MET,0.15,21643.1,999.096,29138.7,50781.8,17453.9000,1017.3000,
8,16,1,16,2.10000000000000000000,MET,0.25,21643.1,999.096,29138.7,50781.8,16622.8000,1017.3000,
8,16,1,16,2.20000000000000000000,MET,0.35,21643.1,999.096,29138.7,50781.8,15867.2000,1017.3000,
8,16,1,16,2.30000000000000000000,MET,0.45,21643.1,999.096,29138.7,50781.8,15177.3000,1017.3000,
8,20,0,1,1.60000000000000000000,VIOLATED,-0.06,10070.5,803.852,17249,27319.5,16286.4000,582.05,
8,20,0,1,1.70000000000000000000,MET,0,10048.9,788.424,17241.1,27290,15329.000,580.742,
8,20,0,1,1.69000000000000000000,MET,0,10042.8,786.562,17240.8,27283.6,15419.3000,580.472,
8,20,0,1,1.68000000000000000000,VIOLATED,-0.01,10033,791.35,17246.4,27279.4,15505.5000,580.507,
8,20,0,1,1.80000000000000000000,MET,0,9991.23,769.538,17240,27231.2,14466.9000,579.033,
8,20,0,1,1.90000000000000000000,MET,0,9935.37,766.878,17238.1,27173.5,13696.2000,577.192,
8,20,0,1,2.00000000000000000000,MET,0.01,9907.7,762.356,17233.1,27140.8,13006.7000,575.985,
8,20,0,1,2.10000000000000000000,MET,0.01,9892.81,759.43,17232,27124.8,12386.5000,575.627,
8,20,0,1,2.20000000000000000000,MET,0.01,9888.02,757.834,17230.9,27119,11822.1000,575.45,
8,20,0,1,2.30000000000000000000,MET,0.01,9886.69,756.504,17230.9,27117.6,11308.1000,575.408,
8,20,0,1,2.40000000000000000000,MET,0.11,9886.69,756.504,17230.9,27117.6,10836.9000,575.408,
8,20,0,1,2.50000000000000000000,MET,0.21,9885.89,755.706,17230.9,27116.8,10403.6000,575.384,
8,20,0,20,1.60000000000000000000,VIOLATED,-0.1,28991.9,1822.37,40897.8,69889.6,32347.6000,1469.6000,
8,20,0,20,1.70000000000000000000,MET,0,28838.1,1635.63,40887.7,69725.8,30324.5000,1464.9000,
8,20,0,20,1.69000000000000000000,VIOLATED,-0.05,28650.6,1723.15,40894.6,69545.2,30540.6000,1456.9000,
8,20,0,20,1.80000000000000000000,MET,0,27916.7,1456.62,40858.4,68775.1,28571.9000,1432.1000,
8,20,0,20,1.90000000000000000000,MET,0,27100.6,1402.88,40800.9,67901.6,26990.6000,1402.3000,
8,20,0,20,2.00000000000000000000,MET,0,26730.6,1393.84,40770.6,67501.2,25599.7000,1389.6000,
8,20,0,20,2.10000000000000000000,MET,0,26528.2,1339.31,40758.1,67286.3,24364.5000,1383.2000,
8,20,0,20,2.20000000000000000000,MET,0.01,26475,1303.67,40755.5,67230.4,23254.6000,1381.8000,
8,20,0,20,2.30000000000000000000,MET,0.11,26475,1303.67,40755.5,67230.4,22243.6000,1381.8000,
8,20,0,20,2.40000000000000000000,MET,0.21,26475,1303.67,40755.5,67230.4,21316.8000,1381.8000,
8,20,0,20,2.50000000000000000000,MET,0.31,26475,1303.67,40755.5,67230.4,20464.1000,1381.8000,
8,20,1,1,.90000000000000000000,VIOLATED,-0.05,10238.6,943.236,17319,27557.6,29107.3000,583.739,
8,20,1,1,1.00000000000000000000,VIOLATED,-0.05,10121.3,880.726,17319.5,27440.8,26192.6000,582.523,
8,20,1,1,1.10000000000000000000,VIOLATED,-0.06,10066.8,843.752,17319.8,27386.6,23816.1000,582.184,
8,20,1,1,1.20000000000000000000,VIOLATED,-0.18,10074.2,813.96,17324.3,27398.5,21809.5000,582.697,
8,20,1,1,1.30000000000000000000,VIOLATED,-0.07,10066.2,802.256,17329.4,27395.6,20136.1000,582.786,
8,20,1,1,1.40000000000000000000,MET,0,10028.5,788.158,17321.1,27349.6,18694.000,581.09,
8,20,1,1,1.39000000000000000000,MET,0,10036.4,785.498,17321.7,27358.1,18829.000,581.539,
8,20,1,1,1.38000000000000000000,MET,0,10044.4,794.542,17321.7,27366.1,18964.6000,581.581,
8,20,1,1,1.37000000000000000000,VIOLATED,-0.01,10053.2,803.32,17322.7,27375.9,19105.5000,581.842,
8,20,1,1,1.50000000000000000000,MET,0,9977.66,768.74,17318.2,27295.9,17441.1000,579.725,
8,20,1,1,1.60000000000000000000,MET,0,9920.74,761.824,17314.5,27235.2,16340.9000,577.611,
8,20,1,1,1.70000000000000000000,MET,0,9894.67,759.164,17313.7,27208.3,15379.2000,576.902,
8,20,1,1,1.80000000000000000000,MET,0.01,9889.88,759.164,17312.3,27202.2,14517.8000,576.687,
8,20,1,1,1.90000000000000000000,MET,0.05,9885.89,755.706,17312.3,27198.2,13753.3000,576.693,
8,20,1,1,2.00000000000000000000,MET,0.15,9885.89,755.706,17312.3,27198.2,13065.7000,576.683,
8,20,1,1,2.10000000000000000000,MET,0.25,9884.29,754.11,17312.3,27196.6,12444.000,576.641,
8,20,1,1,2.20000000000000000000,MET,0.35,9885.89,755.706,17312.3,27198.2,11877.9000,576.683,
8,20,1,20,.90000000000000000000,VIOLATED,-0.08,28795.6,2033.84,42541.1,71336.7,60063.1000,1507.6000,
8,20,1,20,1.00000000000000000000,VIOLATED,-0.01,28781.7,2127.73,42536.6,71318.3,54115.6000,1502.9000,
8,20,1,20,1.10000000000000000000,MET,0,28794.2,2112.04,42519.6,71313.8,49110.8000,1500.0,
8,20,1,20,1.09000000000000000000,VIOLATED,-0.03,28617.3,2105.39,42529.7,71147,49544.3000,1497.2000,
8,20,1,20,1.20000000000000000000,VIOLATED,-0.2,29292.2,1972.92,42552,71844.2,45085.6000,1503.9000,
8,20,1,20,1.30000000000000000000,VIOLATED,-0.09,29494.9,2072.94,42554.4,72049.3,41642.4000,1508.6000,
8,20,1,20,1.40000000000000000000,VIOLATED,-0.01,29045.9,1835.13,42510.8,71556.7,38488.6000,1494.2000,
8,20,1,20,1.50000000000000000000,MET,0,27909.5,1454.75,42448.5,70358.1,35792.7000,1458.8000,
8,20,1,20,1.60000000000000000000,MET,0,27268.2,1393.31,42400.9,69669.1,33494.6000,1435.000,
8,20,1,20,1.70000000000000000000,MET,0,26755.3,1345.96,42380.2,69135.5,31459.8000,1418.2000,
8,20,1,20,1.80000000000000000000,MET,0.01,26514.6,1327.34,42383.4,68898,29700.5000,1411.1000,
8,20,1,20,1.90000000000000000000,MET,0.05,26477.4,1306.06,42383.4,68860.7,28135.6000,1409.5000,
12,8,0,1,1.60000000000000000000,MET,0,4666.7,294.728,5532,10198.7,4608.3000,211.995,
12,8,0,1,1.59000000000000000000,MET,0,4668.03,297.388,5533.86,10201.9,4637.5000,211.994,
12,8,0,1,1.58000000000000000000,MET,0,4673.35,299.516,5534.66,10208,4669.000,212.182,
12,8,0,1,1.57000000000000000000,MET,0,4688.78,308.56,5546.1,10234.9,4699.5000,213.357,
12,8,0,1,1.56000000000000000000,VIOLATED,-0.01,4720.97,328.776,5545.04,10266,4736.3000,214.128,
12,8,0,1,1.70000000000000000000,MET,0,4579.72,247.114,5521.1,10100.8,4327.3000,209.56,
